carrera,plan,cve_materia,nombre_materia,nivel,creditos,caracter,vigente
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6202,CARACTERIZACION DE MATERIALES,,8,optativa-extractiva,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6111,METALURGIA DE POLVOS,,6,optativa-transformacion,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6112,SOLDADURA,,8,optativa-transformacion,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6113,CORROSION,,8,optativa-transformacion,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6114,ENSAYOS NO DESTRUCTIVOS,,6,optativa-transformacion,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6115,TRATAMIENTOS TERMICOS,,8,optativa-transformacion,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6116,ALEACIONES Y ESTABILIDAD DE FASE,,6,optativa-transformacion,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6117,ANALISIS DE FALLAS,,6,optativa-transformacion,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6118,ESTRUCTURA Y PROPIEDADES,,6,optativa-transformacion,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6119,TEMAS EN MATERIALES,,6,optativa-transformacion,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6120,SOLIDIFICACION,,8,optativa-transformacion,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1013,"ARTE, CULTURA Y HUMANIDADES II",,2,optativa-otros,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1908,MOVILIDAD I,,6,optativa-otros,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1909,MOVILIDAD II,,6,optativa-otros,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1910,MOVILIDAD III,,6,optativa-otros,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1916,ACTIVIDADES DE APRENDIZAJE I,,2,optativa-otros,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1917,ACTIVIDADES DE APRENDIZAJE II,,2,optativa-otros,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1918,,,,optativa-otros,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6097,PRACTICAS PROFESIONALES IMM II,,15,optativa-otros,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6201,,,,optativa-otros,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6203,MANTENIMIENTO ELECTROMECANICO,,6,optativa-otros,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6204,TEMAS COMPLEMENTARIOS,,6,optativa-otros,true
